,公司名,公司领域,公司人数,学历,最低工资,最高工资,工作年限,岗位职责,岗位要求
276,北京米连科技有限公司,移动互联网,"['50', '150']",本科,20,40,"(3,5)","1.对大数据进行分析，挖掘各类用户特征，发现潜在的异常用户行为。
2.从多个角度对用户进行建模，使用机器学习等技术来实现对用户不良行为的自动识别。
3.分析现有以及将来系统中可能存在的各种漏洞，提出并实施解决方案。
4.灵活运用各类文本相关的处理技术，让机器自动识别可能的不良信息。
","1.统招本科以上学历，硕士优先；良好的数据结构和算法基础；
2.熟悉机器学习相关理论并有一定实践经验；
3.熟悉Java语言，有良好的Linux环境实际开发经验；
4.有大数据处理经验者为佳；
5.有安全/反垃圾/反作弊等方面实际经验者为佳；"
277,北京旋极信息技术股份有限公司,"移动互联网,硬件","['150', '500']",本科,20,30,"(3,5)",,
278,北京凌宇智控科技有限公司,"硬件,其他","['50', '150']",本科,20,40,"(3,5)","结合IMU和公司自研的室内定位技术进行组合导航算法的研究、验证、实现和优化；

","1. 硕士以上学历，3年及以上工作经验，自动化、电子、通信等相关专业；
 2. 精通惯性导航工作原理，可以利用惯性元件及相关算法进行姿态、位置解算；
 3. 精通组合导航算法设计、精通卡尔曼滤波算法；
 4. 有丰富的公式推演及MATLAB或C、C++实现经验；
 5. 具备组合导航数据处理与信息融合技术算法仿真与实现经验；
 6. 熟悉系统识别与仿真、有良好的算法和数学基础；
 7. 具备较强的学习能力、团队协作能力、沟通能力、责任意识及上进心；
 8. 熟悉计算机视觉算法（如PNP）者优先。"
279,巴恩（大连）科技有限公司,"移动互联网,企业服务","['50', '150']",本科,35,55,"(5,10)","1. 负责大数据核心业务需求开发；
2. 负责大数据平台系统设计和开发；
3. 参与数据平台的监控、维护与优化；
","1. 计算机相关专业本科及以上学历，3年及以上数据开发经验；
2. 熟悉hadoop相关技术，包括Mapreduce、Hive、Storm、flume、spark 等；
3. 熟悉python、java等至少一门语言的使用；
4. 熟练掌握mysql数据库的使用；
5. 对大数据技术有兴趣和热情，对工作有强烈的责任感，有较强的学习能力和创新精神；"
280,混沌时代（北京）教育科技有限公司,"移动互联网,教育","['150', '500']",本科,20,40,"(3,5)","1、负责基于混沌大学业务场景和用户行为进行数据挖掘，洞察业务痛点，落地实现方案；
2、负责对数据进行分析建模，评估与优化模型；
3、负责web应用开发，针对用户做产品的个性化推荐；
4、负责基于数据分析，提升用户体验，为产品方向提供决策。
","1、统招本科以上学历，计算机相关专业，3年以上算法经验；
1、掌握python/shell等脚本语言，熟悉Linux开发环境；
2、掌握基本的算法与数据结构，如树/哈希/排序等；
3、掌握机器学习理论，对贝叶斯、随机森林、神经网络等有应用研究，熟悉sklearn/tensorflow等工具；
4、了解数据分析相关的pandas/numpy/seaborn工具，常用数据库Mysql/Redis/ElasticSearch的查询操作；
5、有推荐系统/数据挖掘/搜索引擎/广告系统等开发经验优先。"
281,北京腾云天下科技有限公司,移动互联网,"['500', '2000']",硕士,25,40,"(3,5)",,
282,微梦创科网络科技（中国）有限公司,文娱丨内容,['2000'],本科,40,80,"(3,5)","1.     负责热门微博用户建模工作，提供核心的用户画像、用户兴趣基础特征，支撑热门微博推荐业务；
2.    面向热门微博推荐业务持续改进画像和兴趣的质量、覆盖、精准及实时性；
【岗","1.     具备较强的编码能力，扎实的算法和数据结构知识；3年以上互联网公司工作经验；
2.    熟悉Python、C++/Java中的一种，hadoop相关开源组件如"
283,梅卡曼德（北京）机器人科技有限公司,"企业服务,硬件","['150', '500']",本科,18,35,"(0,0)",北京海淀区上地群,
284,中国光大银行股份有限公司,金融,"['150', '500']",本科,20,30,"(3,5)",1、结合银行智能运营领域重点任务，运用机器学习和深度学习技术进行数据挖掘建模支持用户运营、智能推荐、渠道运营、权益运营等工作；2、负责数据挖掘领域的工作，参与数据挖掘及数据产品研发的规划、设计及实施；3、负责机器学习和深度学习领域的算法模型研究工作，关注相关领域技术动态，提出实现最前沿的算法，并将其在业务中探索实践，持续提升算法效果和用户体验。,1、年龄35周岁及以下，全日制本科及以上学历、985或211院校优先考虑；2、作为核心团队成员参与过线上运营、渠道运营、用户行为分析等数据分析和数据挖掘相关项目，有实际项目成果者优先考虑；3、熟悉数据分析挖掘过程，具备独立完成数据抽取、数据处理、数据建模及验证、数据分析报告等任务的能力；4、熟悉掌握SAS、Python、R等一种或一种以上的分析工具，能够尝试将机器学习、深度学习技术与金融应用场景进行结合应用；5、熟悉机器学习基本框架和模型常用算法，并对其中至少一种有应用经验；6、具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力。
285,中科天玑数据科技股份有限公司,"移动互联网,数据服务","['150', '500']",本科,16,26,"(3,5)","1、 负责设计、开发、维护大数据分析处理相关的软件产品和模块，开发主要使用语言为JAVA
2、 负责对所负责功能模块进行单元测试和集成测","用例编写、执行测试、编写报告
3、 对所负责的产品或项目的功能模块进行需求分析

任职要求"
