,公司名,公司领域,公司人数,学历,最低工资,最高工资,工作年限,岗位职责,岗位要求
0,腾讯科技（深圳）有限公司,社交,['2000'],本科,25,50,"(3,5)","为腾讯新闻产品提供增长受众定向数据支持； 为用户增长智能运营系统提供基础数据挖掘支持，包括用户画像挖掘、素材挖掘等； 参与打造用户增长体系基础数据体系，包括离线数据建设以及在线服务设施和平台建设； 承担机器学习系统和算法的研发，为腾讯新闻提供增长算法策略支持。
","熟悉多项大数据处理/分析相关的工具/框架，e.g. Hadoop, Mapreduce, Hive, ElasticSearch，Storm, Spark, Flink etc； 强编码能力，生产环境快速解决问题能力，对新技术有强烈的学习热情； 能快速理解业务背景，对数据敏感，用数据说话，深信数据在驱动业务、支撑决策上的价值； 具有海量数据上的统计与聚类、分类经验者优先，具有用户画像项目实践经验者优先。 熟悉常见的开源组件，参与过高性能在线服务研发者优先； 至少能熟练使用Python,R,SAS，SPSS中一种工具，进行数据分析和建模;熟悉hadoop、spark等常用的大数据处理平台，熟悉python、C++、scala等至少一门编程语言； 有大规模海量数据机器学习/数据挖掘/计算广告/搜索引擎相关经验者优先； 具备良好的沟通和表达能力，有较好的产品意识者优先； 熟悉主流深度学习编程框架（TensorFlow/Caffe/MXNet），熟悉其底层架构和实现机制，熟悉深度学习算法（CNN/RNN/LSTM等）优先"
1,北京三快在线科技有限公司,消费生活,['2000'],本科,25,50,"(3,5)","Java、Scala、Python等，能熟练使用SQL进行数据处理；
5.思维敏捷，动手能力强；责任心强，荣誉感强；自我驱动，乐于学习与分享；
6.有较强的逻辑思维能力，善于分析、归纳、解决问题；
7.善于交流，具备优秀的团队协同能力和积极主动的工作态度；
8.能够快速掌握工作领域的业务和技术，能承受必要的工作压力。
具备以下者优先
1.在知识图谱、画像挖掘、社交网络等领域有实际项目，清楚项目流程，产出有价值结果的经验者优先；
2.有使用Tensorflow/DMLC/sparkML等进行实际项目的经验者优先。
岗位亮点
1.跟随行业和公司一起探索人工智能在人力资源领域的落地
2.公司级项目，新领域，支持力度大，挑战性大
3.有特色工作机制，包括Mentor机制、Paper Readig机制、方法论分享机制、专利",
2,央视频融媒体发展有限公司,文娱丨内容,"['150', '500']",本科,15,20,"(1,3)","1、运用各类分析方法对业务、日志数据进行分析与抽象，制定有效的识别策略和算法；
2、建立完善的异常指标监控体系，快速发现及定位问题；
3、基于对用户理解和大量数据特征，参与精准营销、个性化推荐等模型建设和领域研究；
4、完成各类策略实现，并完善与优化。
","1、全日制统招本科以上学历，计算机相关专业；
2、1年以上相关工作经验；
3、熟悉Python；
4、性格开朗，知识面广，思路开阔，创新能力强，致力于技术创新。"
3,微梦创科网络科技（中国）有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)","1.应用机器学习领域前沿方法为微博用户提供更好的信息和服务

2.挖掘海量社交搜索行为数据，不断优化业界领先的搜索内容推荐系统

3.负责研发创新搜索产品，用新产品提升用户搜索体验

4.通过对技术的不断完善推动产品的深化，使技术成为公司成长的驱动，体现技术价值

","1.本科或本科以上学历，计算机相关专业者优先

2.具有三年以上相关工作经验

3.有强烈的上进心和求知欲，善于学习新事物，渴望用技术改变未来

4.优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情

5.具有良好的沟通能力和团队合作精神

6.精通Python/C/C++等语言，在数据挖掘、机器学习领域中，具备将算法应用于实际生产系统的经验和能力

7.熟练应用hadoop等分布式大数据处理系统者优先

8.拥有大规模推荐系统的算法优化、系统构建、平台搭建经验者优先"
4,北京达佳互联信息技术有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)",,
5,北京达佳互联信息技术有限公司,文娱丨内容,['2000'],本科,30,50,"(3,5)",,
6,北京三快在线科技有限公司,消费生活,['2000'],本科,20,35,"(1,3)","参与住宿、门票业务的智能化建设，通过数据挖掘、算法来提升业务各个环节效率。具体工作包括但不限于销量预测、智能定价、热点挖掘、经营诊断等；
与业务、产品团队密切合作，深入理解业务痛点，探索更优解决方式；
和团队一起持续学习、成长，更好的助力业务发展。

岗位","计算机、数学、统计相关专业本科以上学历，相关工作经验1年以上；
具有扎实的计算机基础，熟悉常用的数据挖掘技术，如决策树、聚类、逻辑回归、神经网络等；
熟悉Hadoop、Spark、Hive等大数据处理工具，有海量数据挖掘项目经验者优先；
良好的沟通能力和合作精神，逻辑思维能力优秀，热爱算法，热爱思考。"
7,北京达佳互联信息技术有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)",,
8,北京三快在线科技有限公司,消费生活,['2000'],硕士,30,60,"(3,5)"," 负责小象新零售智能算法，通过算法来提升新零售各个环节效率。具体工作包括但不限于销量预测、智能营销、智能定价、智能画像等。
 指导中低阶算法工程师，关注他们的成长并协助解决遇到的问题。
 善于从业务中抽象问题，并选择合适的算法解决问题，技术难题攻关。
 与业务、产品团队密切合作，支撑支持新零售业务。

",1）岗位基本要求
9,神策网络科技（北京）有限公司,数据服务,"['150', '500']",本科,20,40,"(1,3)","1. 负责神策分析、推荐、用户画像、智能运营等产品中的机器学习算法的研究、实现和优化
2. 针对机器学习在实际业务场景落地中的问题，探索高效准确的解决方案，并持续跟进效果和业务价值
3. 从具体市场需求出发，将机器学习算法应用到产品中，以帮助解决互联网、银行、券商、零售、广电、融合媒体等广泛领域中的机器学习问题，为客户创造业务价值
4. 跟踪业界和学术界最新进展，并且能够快速应用到业务中。
","1. 良好的编程能力和规范，熟悉 python / java / linux
2. 有一年以上的机器学习项目开发经验，熟悉一个或多个常见的神经网络开源工具库，例如"
10,生仝智能科技（北京）有限公司,移动互联网,"['15', '50']",硕士,20,40,"(3,5)","目前算法团队初步组建完成，以后招的人要求提高，各方面要求都会多；
人工智能算法工程师2-医学图像
","1，参与上市公司新组建团队起步人工智能医药病理项目；
2，负责分析医药病理图像，设计算法模型；
3，负责产品优化，持续改进算法；
细分方向1"
11,北京每日优鲜电子商务有限公司,"移动互联网,电商",['2000'],硕士,30,60,"(5,10)",,
12,北京图灵信服科技有限公司,软件开发 其他,"['15', '50']",本科,11,15,"(3,5)","1.三年及以上工作经验；2.熟练掌握数据仓库、ETL的开发,有海量数据处理相关经验者优先。3.了解机器学习算法，例如聚类、回归、决策树等，有实际业务场景运用经验尤佳。4.熟悉Oracle，熟悉ETL设计过程、优化方案和技巧，精通PL/SQL或数据仓库ETL的设计和开发、任务调度的设计和优化。5.熟练掌握基于hadoop的大数据开发，理解hdfs、mapreduce的实现原理，熟练使用Java编写分布式程序；6.对海量数据进行分析，熟练运用Hive并能进行查询的性能优化。7.熟悉Linux的操作，对Linux系统进行基本的配置及应用程序的部署及调试。8.熟悉Linux的操作，对Linux系统进行基本的配置及应用程序的部署及调试。【此岗位外派至央视网-未来电视，投递请注意】【学历必须学信网可查！！全日",
13,北京字节跳动科技有限公司,文娱丨内容,['2000'],本科,20,40,"(3,5)","1、负责头条国际化业务基础数据挖掘核心技术研究和开发； 
2、海量数据上的数据挖掘、特征工程，研究网页、媒体资源的形态、特点和规律；
3、为头条国际化推荐系统，提供核心算法和基础特征，对推荐效果做出合理地调整或改进； 
4、主要","负责头条国际化业务所覆盖到的网页资源、媒体资源、站点价值等数据分析和特征建模工作； 
 负责国际互联网资源特征数据挖掘，包括页面特征、优质内容增长、资源变化趋势等； 
 网页资源、媒体资源、作者、站点的价值判断 ，以及文本特征与挖掘；
 数据挖掘与机器学习的算法应用与优化等 。

职位要求"
14,北京中北信科技发展有限公司,"企业服务,数据服务","['50', '150']",大专,10,15,"(3,5)",,
15,新浪网技术（中国）有限公司,文娱丨内容,['2000'],本科,15,25,"(3,5)",1、负责基于Hadoop、Spark平台的海量数据处理、数据计算、数据开发。 2、负责高并发、高可用性、高可扩展性的线上数据系统开发。 3、负责数据挖掘应用服务开发和数据挖掘算法包研究和应用。 4、负责数据产品和数据项目的相关开发支持。5、负责垂直领域的数据探索，价值数据提取。 ,1、计算机及相关专业本科及以上学历； 2、精通java开发技术，熟练掌握多进程/多线程开发，熟悉常用设计模式； 3、熟练掌握Hadoop、Spark等大数据开发技术，进行过大数据项目实践； 4、有机器学习、数据挖掘、推荐系统经验者优先； 5、具有分布式计算/搜索引擎/广告引擎等后台开发经验者优先； 6、有/ElasticSearch/hadoop/Spark/storm/kafka/scribe等开源框架经验者优先； 7、对技术有激情、有追求；富于技术创新精神，勇于解决技术难题
16,北京每日优鲜电子商务有限公司,"移动互联网,电商",['2000'],本科,20,40,"(3,5)",1、跟进业内前沿技术、持续优化数据基础架构，更加稳定、可靠、高效。2、完善数据链路平台，及时响应用户数据需求，保障链路的稳定、高效。3、查询引擎、画像标签、实验平台等应用支撑方面数据开发工作。,1、深入了解hadoop，spark生态组件，熟练使用并深入了解其原理，包括但不限于yarn，hdfs，hive，spark，hbase，kylin，presto，druid，flink。2、丰富的hive，spark，hbase调优经验，对olap引擎有比较深入的了解。3、熟悉java与scala编程，具备良好的源码阅读能力。4、具备组件二次开发能力，尤其是yarn，hbase，spark，kylin等。5、具备良好的沟通合作意识和能力，乐于分享。
17,北京字节跳动科技有限公司,文娱丨内容,['2000'],本科,25,50,"(3,5)",,
18,秋硕信息科技（广州）有限公司,移动互联网,"['15', '50']",本科,15,20,"(5,10)","1、负责爬虫系统的设计、开发，以及网页抓取的效率和质量优化；
2、负责对目标网站进行数据爬取分析，找到最优化的爬取策略；
3、负责爬虫核心算法的策略优化研究，提升爬虫抓取效率和质量（如调权调度、分析预测、质量判断、封禁与反封禁研究等）；
4、通过机器学习、深度学习等技术，建立数据挖掘模型，解决实际业务问题；
5、负责大规模数据爬虫的性能优化、监控和报警，提高爬虫产品的稳定性和抓取效率；
6、负责技术难点的攻克。
","1、计算机或相关专业本科以上学历，10年以上工作经验，其中5年以上爬虫工作经验（java  或python均可）；
2、精通LNMP架构，有较强的架构能力和良好代码规范；
3、熟练掌握正则表达式、XPath、CSS等网页信息抽取技术；
4、熟悉常见反爬机制，验证码识别，IP代理池、应用Ip池、headers认证和cookie等；
5、熟练掌握应用Selenium+PhantomJS实施动态HTML抓取；
6、熟悉熟练使用http代理工具charles、fiddler等；
7、熟练掌握Linux平台开发，能独立安装、配置、搭建开发环境，编写shell脚本；
8、精通Postpresql，Oracle，mysql等关系数据库；
9、熟悉mongodb/hadoop、redis、rabbitMQ、kafka、zookeeper 等具有项目经验；
10、有Facebook、Twitter爬取经历，或养号经历者优先。
11、熟悉自然语言处理、有一定算法功底，有python舆情产品、爬虫项目经验者优先；
12、能承受一定的工作压力，有责任心、上进心，具备良好的自学能力和独立解决问题能力。"
19,深圳市雪月网络科技有限公司,"数据服务,软件开发","['150', '500']",本科,20,40,"(1,3)","1、抽取底层数据，结合风控业务特点，从不同的角度挖掘特征，并使用特征工程技术构建特征空间；
2、 根据不同的产品需求，抽取建模样本，建立模型；验证模型效果，调整优化模型，保证模型排序性、泛化能力、稳定性、鲁棒性等指标；
3、 尝试新的组合模型和深度学习网络结构，优化模型效果，提升模型稳定性。

","1、对机器学习理论有一定理解，熟悉LR、决策树、SVM等基础模型，bagging、boosting、stacking等融合方法，了解特征工程，有DL项目经验者优先；
2、有实际建模经验，一定程度上具备根据检验结果，判断模型状态，调整优化模型的能力；
3、有较好的代码编写能力，熟悉python，熟练使用sklearn、numpy、pandas等工具包；
4、有hadoop、hive开发经验、有http服务开发经验者优先；
5、有kaggle、天池、ACM等竞赛经历，并成绩优异者优先；
6、良好的团队合作与沟通能力，逻辑能力强者优先。"
20,同程网络科技股份有限公司,旅游,['2000'],本科,40,60,"(5,10)",,
21,北京小米科技有限责任公司,硬件,['2000'],本科,20,40,"(3,5)","负责广告平台数据的设计与实现；
负责业务数据平台相关数据的存储、查询、挖掘等的功能开发；

","1、计算机、数学相关专业本科及以上学历，4年以上互联网研发工作经验
2、具有扎实的计算机科学功底，扎实的编程基础和数据结构算法基础，良好的工程素养，极强的问题解决能力
3、精通Unix/Linux操作系统下Java或Scala开发，有良好的编码习惯，有扎实的计算机理论基础
4、有基于hadoop体系的数据仓库开发经验，了解 Hive，Hbase，Spark等大数据处理工具和技术，有较强的调优能力
5、对数据敏感，有较强的逻辑分析能力，对大数据处理和分析技术有丰富的经验和强烈热情
6、善于交流，有良好的团队合作精神和协调沟通能力"
22,北京字节跳动科技有限公司,文娱丨内容,['2000'],硕士,30,50,"(3,5)","1、负责字节跳动AI数据平台相关的数据项目的设计和研发；
2、负责字节跳动AI数据相关的处理工作；
3、负责字节跳动AI相关模型的数据调优工作；
4、负责数据加工模板设计、流程追踪、任务管理、质量监控、和验收。
","1、硕士及以上学历，计算机、通信、统计、数学、人工智能等相关专业； 
2、擅长Python，熟悉数据挖掘、机器学习、人工智能技术，熟悉web前端（html，js等）相关知识；
3、基于采集数据、用户基础属性数据、用户行为数据等建立并持续优化标签体系与画像模型；
4 、负责知识图谱类型的数据构建，包括知识抽提、实体识别等；开发和搭建一整套数据链路，包括抓取、结构化抽取、存储等；
5、对数据有一定敏感度，有海量数据挖掘实际经验者优先。"
23,北京必示科技有限公司,人工智能,"['50', '150']",本科,20,40,"(1,3)",,
24,北京圣承方略咨询有限公司,"移动互联网,教育","['50', '150']",本科,15,30,"(5,10)","此岗位需要去长春出差，北京和长春两地各待半个月轮流出差，不考虑务投递简历，不是外包公司。
1、公司大数据产品的开发与项目实施；
2、外部业务和用户行为数据的接入；
3、根据业务需求和方案设计文档，对数据进行实时或离线处理；
4、对数据进行挖掘分析，为客户提供个性化推荐，用户画像等一系列业务能力；
5、辅助策略组提供技术支持；

","1、本科统招起，数学、计算机相关专业；
2、熟练SQL数据库、Linux操作系统；、熟悉java script；
3、掌握Flume，Kafka，Storm，Spark，hive，Hbase，zookeeper，mapreduce，HDFS，Yarn其中三项或以上，并有过实际项目经验，了解mahout或Spark MLIB，了解Oozie；
4、熟练使用Scala、Python、SQL其中之一，并且熟悉java语言；
5、熟悉oracle/mysql关系型数据库，能编写常用sql；
6、熟悉Hbase、MongoDB等主流NoSQL数据库，有ES使用经验的优先；
7、了解常用的机器学习算法，熟悉mahout或Spark MLIB的优先。"
25,京东数字科技控股有限公司,金融,['2000'],硕士,20,35,"(1,3)",1、优秀的分析和解决问题能力，有机器学习实际项目经验；2、扎实的代码能力，精通至少一门主流语言Python/Scala/Java/C++；3、熟悉大数据分析工具Spark/Hive/Hadoop；4、扎实的理论和算法基础，出色的机器学习理论基础；5、熟悉深度学习、强化学习并有相关项目经验者优先；6、有大规模计算广告或推荐系统策略研发经验,
26,北京英特美迪科技有限公司,医疗丨健康,"['15', '50']",本科,20,30,"(1,3)",1、负责医学图像处理中相关算法的研发，包括目标检测、病种分类、病区分割、数据关联等技术研发；2、参与和医学专家团队的交流会议，深入了解临床需求，从技术角度评估科研合作的可行性并参与技术路线设计。,1、本科及以上学历，计算机、生物医学工程、数学相关专业背景；2、1年以上图像处理、计算机视觉和深度学习领域的研发经验，有MICCAI等医学图像处理大赛经验优先；3、熟练使用至少一种主流深度学习框架（如Tensorflow、torch、Caffe/Caffe2等），熟练使用C/C++或Python等编程语言；4、基础扎实，逻辑思维能力强，具有良好的编码习惯和优秀的代码阅读能力，良好的英文文献阅读能力；5、具备良好的合作意识及沟通能力，较强的问题解决能力和创新能力。
27,腾讯科技（深圳）有限公司,社交,['2000'],硕士,20,40,"(1,3)","1.负责腾讯基础机器学习平台建设以及在搜索、推荐等相关预估模型中的应用落地；2.基于用户历史行为和兴趣，建立适合推荐引擎的模型与特征；搭建在线机器学习系统，预估用户点击率并进行精准推荐。    
",1.2年以上大规模数据挖掘相关工作经验；2.精通机器学习算法及其原理，对算法特点有深刻理解，能快速制定算法实现方案和进行业务算法创新；3.熟悉c++/java/python等一门以上编程语言，对算法有较强的实现能力；4.具备优秀的分析和解决问题的能力，良好的沟通和学习能力。
28,北京开心代代科技有限公司,电商,"['150', '500']",本科,25,35,"(3,5)",,
29,北京思维造物信息科技有限公司,"移动互联网,文娱丨内容","['150', '500']",本科,30,60,"(3,5)","1、负责得到app个性化系统整体算法策略的设计与实现
2、负责推荐线上排序系统的效果优化与迭代
3、参与大规模分布式机器学习训练&amp;打分系统的探索与实现
","1、熟悉机器学习、深度学习的基本原理
2、熟悉Java、python、tensorflow&amp;pytorch等深度学习开源工具
3、有编写高质量代码的自我要求，有一定的数据挖掘和分析能力
4、有责任心，对AI技术有强烈的热情与好奇心
加分项"
30,北京思维造物信息科技有限公司,"移动互联网,文娱丨内容","['150', '500']",本科,30,60,"(3,5)","基于得到业务场景，提供人工智能解决方案；
用自然语言处理技术和语义分析方法实现相关模型的建立与实践；
构建得到基础NLP Service，赋能各项业务；

","扎实的算法基础，精通中文分词、命名实体识别等相关NLP算法和模型；
熟悉Java/Python等编程语言；
有Tensorflow,Pytorch等深度学习框架与自然语言处理结合实际项目经验者优先；
熟悉面向文本的CNN、RNN、LSTM、Sequence to sequence、GAN等模型者优先；
了解Attention、Memory机制在Deep Learning中的实际应用者优先；
熟悉Word2Vec、Doc2Vec等embedding模型及应用者优先；
在知识图谱、智能问答、搜索引擎等领域有实际项目经验者优先"
31,摩比神奇（北京）信息技术有限公司,移动互联网,"['150', '500']",本科,15,30,"(1,3)","1、负责从海量数据中提取出有效的，并且可用于风控反欺诈的数据；2、通过构建用户关系网络，识别处理欺诈行为及欺诈团伙；3、负责风控平台的设计与开发，包括规则引擎、标签系统等。
",1、计算机，统计学相关专业本科及以上学历，2年以上互联网行业工作经验；2、具备1年以上Java或Python后端研发经验；熟悉redis、mongo或其他NoSQL；3、熟悉基本数据结构和算法，对风控领域感兴趣，有反欺诈相关项目经历；4、具有较强的分析与解决问题能力，以及持续学习能力。
32,奇虎360科技有限公司,信息安全,['2000'],本科,20,40,"(3,5)",,
33,一点网聚科技有限公司,文娱丨内容,"['500', '2000']",本科,20,30,"(1,3)",1.负责一点商业化广告数据建设，建立完善的底层存储，数据计算，数据仓库，OLAP分析，实时计算，业务建模等。,1. 计算机或相关专业本科以上学历，大数据开发相关工作经验；2. 精通JAVA/Python任意一门；3. 熟悉Hadoop/Hive/HBase/Spark/Storm/Kafka等；4. 熟悉某一大数据源码优先；5. 相关互联网公司工作经验优先。
34,北京京东世纪贸易有限公司,电商,['2000'],本科,25,50,"(3,5)",,
35,北京轻舟智航智能技术有限公司,"人工智能,软件开发","['50', '150']",硕士,40,60,"(3,5)","* 负责车上感知系统中与机器学习相关模块的研发/实现。
* 负责车下基于不同传感器/多传感器数据的目标检测/分割/跟踪/分类等机器学习任务的研发/实现/部署。
* 负责车下机器学习模型的性能评估。

","* 计算机/机器人/统计/自动化等相关专业，硕士及以上学历，博士优先。
* C++和Python， 扎实的算法和数据结构知识。
* 有自动驾驶感知系统开发经验者优先。
* 有计算机视觉/机器学习方向顶会论文者优先。
* 具有机器学习和计算机视觉知识和应用经验，如目标检测/分割/跟踪/分类等。
* 熟练使用深度学习框架，如Tensorflow或Pytorch。"
36,大连柏盛源科技有限公司,"其他,企业服务","['500', '2000']",本科,35,65,"(5,10)",1. 负责大数据核心业务需求开发；2. 负责大数据平台系统设计和开发；3. 参与数据平台的监控、维护与优化；,1. 计算机相关专业本科及以上学历，3年及以上数据开发经验；2. 熟悉hadoop相关技术，包括Mapreduce、Hive、Storm、flume、spark 等；3. 熟悉python、java等至少一门语言的使用；4. 熟练掌握mysql数据库的使用；5. 对大数据技术有兴趣和热情，对工作有强烈的责任感，有较强的学习能力和创新精神；
37,开易（北京）科技有限公司,"数据服务,其他","['150', '500']",本科,15,25,"(0,0)","1、算法功能模块开发；
2、针对现有算法功能的不足进行分析，找到目前算法瓶颈，能够通过不断迭代提升算法的准确性；
3、将现有计算机视觉与深度学习算法移植落地到车载嵌入式平台。
","1、计算机相关专业本科以上学历，有深度学习算法开发经验；
2、熟练掌握 C/C++，有较强的代码能力；
3、具备清晰缜密的逻辑思维能力，有较强的数据分析、算法开发能力；
4、具备优秀的沟通能力、学习能力、执行能力、团队协作能力；
5、责任心强，能承受一定的工作压力；
6、熟悉海思 AI 芯片平台或 TI DSP 平台开发、熟悉深度学习算法者优先；
7、211、985优先。"
38,上海阅文信息技术有限公司,文娱丨内容,"['500', '2000']",本科,30,50,"(3,5)",负责阅文集团书籍推荐、搜索、挖掘、标签处理等推荐相关的算法及相关系统接入、调优工作,1、计算机相关专业硕士及以上学历，三年以上的互联网工作经验；2、至少精通C++/JAVA/Python等一门编程语言；3、精通算法设计/数据结构；熟悉相关的数学理论知识；4、熟悉机器学习方法，数据挖掘常用方法及流程，并有相关项目经验；5、有同行业实际推荐经验者优先考虑；6、有海量服务以及数据处理和并行计算开发经验优先；7、熟悉Hadoop、Storm、Spark等技术者优先；8、具备良好的团队合作和沟通能力；
39,百度在线网络技术（北京）有限公司,工具,['2000'],本科,20,40,"(3,5)","-负责搜索排序、搜索推荐、视觉搜索等策略方向的研发工作 
-理解与满足用户搜索需求，并予以算法改进和系统实现 
-对互联网海量资源的挖掘、识别及分类

",-具有以下一个或多个领域的理论背景和实践经验者优先
40,清枫（北京）科技有限公司,游戏,"['50', '150']",本科,20,35,"(1,3)",,
41,北京快乐茄信息技术有限公司,工具,"['150', '500']",本科,30,60,"(3,5)","负责feed流的推荐结果召回策略/排序策略的研发。
任职资格
1. 熟练掌握python/c++/java 一种或多种, 具备强悍的编码能力和扎实的数据结构和算法功底；
2. 熟悉推荐系统常见的召回策略和模型包括不限于（CF, 二分图，word2vec, contentbase, LSTM，DNN）等召回算法，或者熟悉常见的LTR模型包括不限于(LR, GBDT, wide&amp;deep, DNN，在线反馈算法) ；
3. 熟悉hadoop, spark, flink, storm， hive，hbase 等大计算工具优先；
4. 熟悉tensorflow等深度学习工具并有实际落地项目者优先，有推荐，搜索相关项目研发经验",
42,北京字节跳动科技有限公司,文娱丨内容,['2000'],本科,40,70,"(1,3)","1、完成DMP的商业标签的挖掘工作，根据广告主的需求，完成商业标签体系
2、优化和完善所属方向的数据分析体系，对商业垂直行业建立标签体系
3、和PM配合，完成产品的初步调研，对产生的标签做出有效的评估

","1、良好的计算机教育背景，优秀的编程能力，优秀的工程架构能力
2、熟悉大规模数据挖掘、机器学习、分布式计算中一项或多项，对GBDT，LR 等模型熟悉
3、掌握Mysql，Hadoop，Hive，spark等开源软件和框架，熟悉其中一两项，精通加分
4、有广告投放机制、用户数据建模挖掘经验者优先"
43,北京三快在线科技有限公司,消费生活,['2000'],本科,30,60,"(5,10)","1）自然语言处理； 2）机器学习；3）图像处理；
2. 有大数据处理分析经验，熟悉Hadoop、Hive、Spark等大数据处理平台；
3. 至少精通Java语言、python、Scala之一；
4. 有广告或推荐相关经验",
44,北京字节跳动科技有限公司,文娱丨内容,['2000'],本科,25,50,"(3,5)","1、负责团队技术规划、梯队建设、人才培养；
2、支持抖音/火山等多个产品线数据辅助业务增长需求，通过技术手段额外提升数十亿营收；
3、基于千亿级视频观看、直播互动及用户付费数据对用户/作者/主播进行深入分析与研究，建立用户/作者/主播画像；
4、基于短视频和直播等业务场景特点，设计高效增长/营销/定价/变现算法与策略，提升变现效率同时帮助作者/主播成长；
5、全面了解业务发展，提供基于机器学习、深度学习、文本挖掘、复杂网络等算法方案解决复杂的实际业务问题。

","1、有扎实的数据结构和算法功底，熟悉机器学习、自然语言处理、数据挖掘中一项或多项；
2、具备强悍的编码能力，熟悉 linux 开发环境，熟悉 C++ 和 Python 语言优先；
3、对推荐系统、计算广告、搜索引擎、风控系统相关技术有经验者优先；
4、热衷于技术创新，善于突破既有框架做出改变，善于运用有限资源针对具体问题拿到结果优先；
5、对于把大数据和人工智能技术能够应用到实际业务场景产生商业价值具有强烈的热情优先；
6、优秀的理解沟通能力，能快速理解业务背景，崇尚数据说话，深信数据在驱动业务、支撑决策上的价值优先。"
45,北京字节跳动科技有限公司,文娱丨内容,['2000'],本科,20,40,"(0,0)",,
46,北京深点智慧科技有限公司,移动互联网 文化娱乐,"['15', '50']",硕士,30,50,"(3,5)","1. 负责人脸配准、跟踪、形变动画等关键技术研究； 
2. 负责人脸相关技术和产品的研发和落地。 


","1. 计算机相关专业，精通图像处理、人脸相关理论和算法，有很好的研究积累和创新能力，对计算机视觉有深入学习应用经验； 
2. 对机器学习、深度学习有较深理解和应用，能独立开展研发工作； 
3. 极佳的工程实现能力，精通C/C++、Python等至少一门语言； 
4. 思维活跃，能快速学习新知识，对技术研发富有激情； 
5. 拥有国际**学术论文，参加过CV领域有影响力的竞赛优先考虑。"
47,北京三快在线科技有限公司,消费生活,['2000'],本科,30,60,"(5,10)","1.基于美团支付、保险、消费金融等多金融场景，解决金融营销问题，打造一体化的智能营销决策引擎；
2.利用机器学习、多模态身份识别、无监督学习、知识图谱等人工智能技术，结合平台海量数据构建并完善智能风控体系；
3.人工智能新技术的研究以及在金融风控和营销场景下的探索应用。

","1.一年以上的算法岗位工作经验；
2.精通机器学习（经典模型、深度模型、强化学习、迁移学习等）、运筹学（规划问题、博弈论等）中至少一个领域的理论和技术；
3.熟悉Hadoop/Hive/Spark等大数据平台，具有良好的编程能力，优秀的模型应用能力；
4.具备优秀的逻辑思维能力，善于分析问题、拆解问题、解决问题；
5.具备良好的沟通与团队合作能力，乐于学习与分享；
6.动手能力强，责任心强，良好的自我驱动能力；
7.加分项"
48,北京云英传奇技术有限公司,"移动互联网,数据服务","['50', '150']",本科,25,45,"(1,3)","1，负责根据实际需求和问题，应用统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题，设计和评估数据挖掘方案；
2，参与相关模型开发和优化工作，负责模型在业务端落地；
3，跟踪前沿的算法理论，并且将优秀的算法应用到业务场景中，通过技术创新提升业务价值。
","1，本科或以上学历，计算机、电子信息、自动化、模式识别、数学、统计学等相关专业，掌握扎实的统计学、数据挖掘、机器学习理论基础；
2，掌握Python，熟练者优先
3，掌握基本的数据清洗和建模能力
4，掌握数据分析和挖掘的基本方法（分类、估计、预测等）
5，具备算法的基础知识，有过运筹优化算法（线性规划、动态规划、遗传算法、模拟退火算法、蚁群算法等）经验者优先
6，良好的沟通表达能力与团队协作精神"
49,北京英特美迪科技有限公司,医疗丨健康,"['15', '50']",硕士,30,50,"(1,3)","1、负责医学图像处理中相关算法的研发，包括目标检测、病种分类、病区分割、数据关联等技术研发；
2、参与和医学专家团队的交流会议，深入了解临床需求，从技术角度评估科研合作的可行性并参与技术路线设计。
","1、本科及以上学历，计算机、生物医学工程、数学相关专业背景；
2、1年以上图像处理、计算机视觉和深度学习领域的研发经验，有MICCAI等医学图像处理大赛经验优先；
3、熟练使用至少一种主流深度学习框架（如Tensorflow、torch、Caffe/Caffe2等），熟练使用C/C++或Python等编程语言；
4、基础扎实，逻辑思维能力强，具有良好的编码习惯和优秀的代码阅读能力，良好的英文文献阅读能力；
5、具备良好的合作意识及沟通能力，较强的问题解决能力和创新能力。"
50,腾讯科技（深圳）有限公司,社交,['2000'],本科,25,35,"(3,5)",,
51,生仝智能科技（北京）有限公司,移动互联网,"['15', '50']",硕士,14,28,"(0,0)",1，学习意愿强，具备相应的,"在人工智能第三次浪潮发展中需要不断的更新知识技术体系，并用于产品研发中；
2，具备或将具备生物医学、计算机类双重知识能力体系"
52,盈嘉互联（北京）科技有限公司,"移动互联网,企业服务","['50', '150']",本科,15,30,"(3,5)","1、负责大数据技术平台开发；
2、负责机器学习算法在线/离线系统实现；
3、负责数据仓库和挖掘工具平台开发；
4、 对大数据基础架构和平台有深刻理解和丰富开发经验，具备相关产品（Hadoop、Hive、HBase、Kafka、MapReduce、Spark、kudu、es等）项目应用研发经验
5、 有大型分布式系统设计经验，负责过海量数据平台上高可用、高性能分布式系统的架构设计。
","1、知名高校研究生学历，计算机或数学统计学等专业，3年以上工作经验；
2、具备较强的编程能力，熟练掌握java"
