,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
640,北京昆仑万维科技股份有限公司,北京,500-2000人,"移动互联网,游戏",算法工程师,2020-03-27 18:07:22,15k-30k,应届毕业生,本科,1、配送领域核心交易引擎算法的设计与实现，成果将应用于出行/外卖调度引擎，提升平台效率、优化用户体验，促进业务增长；2、供需预测、用户行为预估模型的设计与实现，成果将作为交易引擎策略的重要输入应用于调度策略中；3、组内技术氛围较好，团队成员多来自于清华、国防科大、武大、北邮等重点高校，ACM/ICPC金牌选手聚集。岗位要求1、计算机、运筹学、统计学等相关专业2、有机器学习、强化学习、运筹优化相关背景3、编程基础扎实，熟悉常用的算法与数据结构4、在领域内TOP会议/期刊发表过论文或算法竞赛成绩优秀者5、ACM-ICPC/CCPC区域赛金牌及以上奖项6、踏实勤奋，自我驱动，,
641,深圳晶泰科技有限公司,北京,150-500人,企业服务,算法工程师（机器学习/深度学习）,2020-04-01 18:17:55,10k-20k,不限,硕士,,
642,北京新氧科技有限公司,北京,500-2000人,"移动互联网,消费生活",算法工程师,2020-03-16 14:43:13,20k-40k,3-5年,本科,,
643,中国环球租赁有限公司,北京,500-2000人,"金融,医疗丨健康",算法工程师（医疗AI）,2020-04-03 08:53:40,25k-50k,不限,博士,"1、负责公司医疗人工智能相关核心技术的研发工作； 2、 基于公司内外医疗资源，借助医疗集团数据集成平台，采集和处理医疗健康行业大数据，开发医疗学习模型；
3、 利用基于医疗大数据的人工智能技术向各级医务工作者提供服务，以提高医生用户科研、患者诊疗、疾病防控等方面的工作质量及效率。
 
","1、计算机相关专业博士及以上学历；
2、有医疗AI研发相关工作经验；
3、在机器学习、数据挖掘、自然语言处理或者计算机视觉等具体领域有研究经历或成果，能够根据实际问题开展算法的设计和实现，了解主流的机器学习、深度学习研发平台；
4、对医疗健康事业有极大的热情，愿意利用人工智能和大数据技术解决挑战性问题，在相关方向有研究经历者优先。"
644,奥本未来（北京）科技有限责任公司,北京,15-50人,"硬件,游戏",图形视觉算法工程师,2020-04-03 18:36:57,5k-8k,应届毕业生,本科,"1.研发核心图形算法；;
2.设计和构造数据和媒体的相关算法；
3.进行高性能并行计算相关算法。

","1.计算机专业，统招本科及以上学历；
2.扎实的数学功底，较好的算法设计能力；
   熟悉算法与数据结构设计，如贪心，DP，DFS/BFS，图算法等；
   熟悉编译原理，操作系统基本原理；
   熟悉C++，Python；
   熟悉微积分，矩阵分析，最优化等；
3.具备阅读和实现计算机图形学与视觉会议（e.g. SIGGRAPH/ICCV/CVPR）论文算法能力；
4.有计算机视觉或图形相关研究经验者优先。"
645,禾多科技（北京）有限公司,北京,150-500人,人工智能,自动驾驶感知算法工程师,2020-04-03 16:49:12,20k-40k,1-3年,本科,"1、多传感器的融合；2、标准的辅助驾驶技术，如自适应巡航（ACC），前向防碰撞预警（FCW），车道偏离预警（LDW）和车道保持（LKA）等；3、机器学习算法，如深度神经网络，增强学习和概率图模型等。
",1、电子工程、计算机科学与技术、自动化及其他相关领域本科及以上学历，硕士及以上学历为佳；2、在机器学习，计算机视觉，3D几何，优化和高性能计算领域，具有至少3年的研发经验，在辅助驾驶和自动驾驶领域具有实战经验为佳；3、优秀的C/C++编程能力；4、能够在成员背景各异的团队中高效的开展工作；5、具备较强的沟通能力，能够在压力下保质保量的按时完成工作。加分项
646,南京摄星智能科技有限公司,北京,15-50人,"移动互联网,人工智能",算法工程师,2020-01-15 09:47:44,25k-50k,1-3年,硕士,,
647,逸驾智能科技有限公司,北京,50-150人,其他,算法工程师,2020-03-02 16:49:48,20k-40k,3-5年,本科,,
648,武汉小药药医药科技有限公司,北京,2000人以上,医疗丨健康,算法工程师,2020-02-14 21:45:40,20k-40k,3-5年,本科,"1.研究数据挖掘或统计学习领域的前沿技术，从多个维度分析挖掘预测用户/商品的流行度，价格，销量等维度；
2.基于对商品理解和大量数据特征，将用户/商品画像挖掘结果应用到推荐，搜索等业务场景提升点击率等业务指标；
","1.计算机及相关专业本科以上学历，具有1年以上的互联网推荐，搜索，风控，广告等相关领域的工作经验。
2. 熟悉机器学习/自然语言处理/数据挖掘/深度学习中至少一个领域的原理与算法，并且能够熟练建模解决业务问题。
3.精通Linux平台下的Python/Scala/R/tensoflow/pytorch语言开发。
4.具有优秀的分析和解决问题的能力，思路清晰，对工作上的挑战充满激情。
5.具有强烈的工作责任感和团队合作精神，能较好的沟通与学习。"
649,京东数字科技控股有限公司,北京,2000人以上,金融,算法工程师,2020-01-16 14:59:53,35k-45k,3-5年,本科,1、基于海量的用户行为数据，建立并优化商业化系统的算法和机制，用技术推动业务的进步；2、针对业务需求，独立思考并引导业务的发展，发现已有系统和算法的不足，提出合理的解决方案并推动实现；3、对业界前沿技术保持敏感，结合业务特点，探索将前沿的算法技术应用于实际业务，实现技术突破与前沿创新；4、全局性地规划产品和技术方案，高效高质地解决产品线的各自业务问题。,1、计算机、数学或统计学相关专业，本科及以上学历；2、对以下至少一个领域有深入研究或者资深工作经验
650,北京深睿博联科技有限责任公司,北京,150-500人,"移动互联网,医疗丨健康",深度/机器学习,2020-04-03 18:48:40,25k-50k,不限,硕士,"机器学习/模式识别及其他相关领域硕士及以上学历，在深度学习领域有较深的理论或实验室研究经验

良好的算法基础，扎实的编程功底，有较大型项目的开发经验

能够熟练使用OpenCV，精通C/C++，Python,golang等，熟悉Linux开发环境

善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神，有创造性思维，有推进人工智能的理想和使命感。

有以下经","具有常用的CNN/RNN模型之外深度学习相关经验，熟悉常用的深度学习软件（如caffe，pytorch等）

在相关方向知名国际会议发表过论文（如CVPR，ICCV，ECCV，NIPS，ICLR，TPAMI等）

参加过国际国内算法类竞赛，并取得一定名次者"
651,中科寒武纪科技股份有限公司,北京,500-2000人,"硬件,数据服务",算法测试工程师 (MJ000430),2020-04-03 16:38:31,20k-40k,3-5年,本科,"1. 参与深度学习项目的需求分析、方案设计和测试工作;
2. 跟踪和学习最前沿的深度学习算法，为深度学习的应用提供支撑;
3. 能够通过技术手段提高产品交付质量;

","1、计算机、电子工程、数学、通信、自动化等相关专业，本科及以上学历；
2、逻辑思维清晰，积极主动，责任心和抗压能力强，具备良好的沟通表达能力;
3、了解机器学习/深度学习/图像处理相关算法, 并且对深度学习有浓厚兴趣;
4、掌握C/C++/python编程语言, 并且有良好的编程风格和工作习惯；
满足以下条件者优先"
652,慧科讯业（北京）网络科技有限公司,北京,500-2000人,文娱丨内容,大数据开发工程师-实时计算,2020-04-03 20:14:21,18k-35k,3-5年,本科,"• 搭建公司的实时计算平台
• 参与海量数据的运营数据分析体系搭建
• 负责数据接入, 数据处理, 业务数据建模等工作    
 
","• 扎实的编程能力，熟练掌握Java/Scala/Python编程
• 深入理解主流的大数据和流式数据处理技术MapReduce，Storm，Spark，Flink等
• 熟练运用运用数据库 如Solr, ElasticSearch, Mysql，MongoDB，Hive，HBase，Neo4j 等
• 工作细致、责任心强，具备较强的学习能力及理解能力，有良好的沟通能力和团队协作能力
• 有NLP相关开发经验优先
• 有分布式系统、大规模线上系统开发或者大规模数据处理经验的优先"
653,北京酷云互动科技有限公司,北京,150-500人,"数据服务,广告营销",大数据高级开发工程师,2020-04-03 16:39:38,20k-30k,5-10年,本科,,
654,禾多科技（北京）有限公司,北京,150-500人,人工智能,自动驾驶感知算法工程师,2020-04-03 16:26:28,20k-40k,1-3年,本科,"1、多传感器的融合；
2、标准的辅助驾驶技术，如自适应巡航（ACC），前向防碰撞预警（FCW），车道偏离预警（LDW）和车道保持（LKA）等；
3、机器学习算法，如深度神经网络，增强学习和概率图模型等；
","1、电子工程、计算机科学与技术、自动化及其他相关领域本科及以上学历，硕士及以上学历为佳；
2、在机器学习，计算机视觉，3D几何，优化和高性能计算领域，具有至少3年的研发经验，在辅助驾驶和自动驾驶领域具有实战经验为佳；
3、优秀的C/C++编程能力；
4、能够在成员背景各异的团队中高效的开展工作；
5、具备较强的沟通能力，能够在压力下保质保量的按时完成工作；
加分项"
655,北京小川在线网络技术有限公司,北京,150-500人,文娱丨内容,推荐算法工程师,2020-04-03 14:23:50,30k-50k,3-5年,本科,"1. 负责最右推荐产品的研发，用推荐产品/技术来提升用户体验和活跃度；
2.应用机器学习、自然语言处理等技术，基于海量用户日志和内容，建立用户画像，构建内容质量及内容标签体系；
3.以数据挖掘和数据分析为基础，发现新的产品改进点，驱动产品改进，探索新的产品形态；
4. 跟踪业界最新的机器学习算法和研究趋势，并将其应用于实际的生产环境。","1.熟练掌握Python、php、go等其中的一种或几种编程语言，熟练使用数据结构和常用算法，有较强的算法设计和实现能力；
2.熟悉自然语言处理、机器学习、模式识别等常用算法，并进行过相关的实践；
3.较强的技术攻关能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优；
4.有3年以上推荐、ranking、NLP、文本挖掘等方向的实际工程和项目经验；
5.具备良好的团队合作精神和沟通意识。


公司简介
小川科技 www.ixiaochuan.cn

1我们做什么
我们看好移动上的兴趣社交。通过发现兴趣和聚集同好，我们帮助年轻人畅快交流，发现自我。
我们理解的兴趣社交是"
