,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
197,深圳马可孛罗科技有限公司,北京,150-500人,旅游,数据分析师,2020-04-03 19:04:13,10k-20k,不限,硕士,"1. 负责海量数据的特征提取、数据分析挖掘，发现数据的分布密度、变化趋势、相关关系等；
2. 运用机器学习各算法进行数据建模和深挖机票酒店等旅游产品价格特征；
3. 负责定价策略分析和建模，算法设计；
4. 设计A/B测试，评估定价效果。
任职资格
我们一直在寻找","1. 本科及以上学历；计算机、统计、数学、信息技术、量化金融及相关专业优先；
2. 至少会一种程序语言查询或处理数据；熟练掌握Python的优先；
3. 在校期间，有数据挖掘、分析、NLP、机器学习等相关项目经验的有加分；
4. 有数据建模能力，熟练运用各项数据分析方法和工具的有加分；
5. 熟练SQL 和Tableau（或其他可视化软件）有加分；
6. 英语优秀者有加分。

职位诱惑
1. 完善的带教机制，一对一以老带新帮助实习生成长；
2. 定期的技术交流培训课程；
3. 正式员工可享年终奖、五险一金、年度体检、司龄party、带薪假期等福利。
4. 享有国家法定节假日，实习期即购买商业保险；
5. 节日礼品、团建活动、周末双休、弹性工作时间等福利制度；"
198,北京微梦创科网络技术有限公司,北京,2000人以上,移动互联网,数据分析师,2020-04-03 18:53:18,12k-19k,1-3年,本科,"深入理解微博业务模式，发现潜在作弊风险点，设计合理的数据埋点体系；
通过大数据分析，定量识别潜在的风险和业务影响；
了解行业动态，找到作弊者的行为特点，快速迭代，持续优化某个业务的风控效果；
和产品研发，业务运营高效沟通，设计合理风控体系，组建可视化风控系统；

   ","本科以上学历，计算机或者数学等相关专业；
2年及以上数据分析或机器学习或数据工程或后台开发等方向的工作经验；
熟悉Hive/Hadoop/Spark等组件，熟悉python等语言，能对海量数据进行高效分析；
熟悉数据挖掘，统计学习等相关算法，建立模型解决各类反作弊问题；
对业务和数据敏感，能快速发现问题和解决问题；"
199,达疆网络科技（上海）有限公司,北京,2000人以上,消费生活,数据分析,2020-04-04 20:40:02,20k-40k,3-5年,本科,"1、本科以上学历, 数学, 统计学, 计算机等相关专业；
2、精通SQL, Excel, R或python等工具和语言；
3、具备很好的逻辑思维和数据思维能力, 对数据和业务有足够的敏感性；
4、良好的理解, 沟通, 表达, 团队协作, 跨部门协作能力；
5、有互联网或电商行业经",
200,广州汇量信息科技有限公司,北京,500-2000人,广告营销,高级大数据开发工程师G101332,2020-04-05 19:35:48,30k-40k,1-3年,本科,,
201,瑞庭网络技术（上海）有限公司,北京,500-2000人,移动互联网,高级数据分析师(J12211),2020-04-03 13:53:28,20k-40k,1-3年,本科,,
202,北京默契破冰科技有限公司,北京,150-500人,社交,数据分析师,2020-04-03 17:25:10,15k-25k,3-5年,本科,1.分析数据报表，监控产品运行数据2.理解业务流程和关键点，确认重点监控指标3.报告并分析数据异常的原因4.协助产品和运营同学查询数据、分析结论,1.正直、诚实、认真2.三年以上数据分析经验，熟悉SQL，了解NoSQL，了解SQL优化与原理3.熟练使用Excel高级功能4. 对移动互联网社交、娱乐产品有热情，相信数据可以产生价值  5.加分项
203,北京好赞移动科技有限公司,北京,150-500人,"移动互联网,社交",数据分析师,2020-04-03 17:10:22,10k-20k,1-3年,本科,"1、分析交易数据，产出数据分析报告，为业务提供数据决策和策略支持；
2、分析交易风险,与合规部门合作控制交易风险；建立数据模型,预测未来数据变化；
3、通过数据监控快速精准发现问题，与各团队进行沟通，落实改进措施；
4、分析相关的行业趋势，为业务提供有价值的行业趋势分析和方向建议。
","1、统计学、数学等相关专业本科以上学历，3年以上互联网数据分析经验；
2、掌握一定的数据分析策略和方法，对数据有很高的敏感性，能不断进行数据分析和挖掘，给予运营有效建议和指导；
3、具有良好沟通协调能力、良好的抗压性、高度的责任心和团队协作精神，
4、时尚潮流、球鞋兴趣爱好者加分。"
204,北京三快在线科技有限公司,北京,2000人以上,消费生活,服务体验部-资深数据分析师,2020-04-03 18:41:42,15k-24k,3-5年,本科,● 基于服务体验部发展的现状及未来，搭建多维度的服务数据分析框架，并完成监控和分析工作，对数据波动进行原因追溯，给出合理解释，并通过适当的方式进行汇报呈现，推动相关团队改善服务体验；● 面向与产品功能、客户分析相关的专题性问题，通过多种调研方式，深入了解分析诉求，搭建对应的分析模型，给出有针对性的系统性的解答；● 沉淀分析思路，利用工具搭建数据报表或负责建设分析用数据产品应用，推动报表体系和统计体系的改进；● 和产品、技术、运营、服务等团队紧密合作，共同达成用户与商户体验优化目标。,1）岗位基本要求
205,北京金堤科技有限公司,北京,150-500人,数据服务,数据分析师,2020-04-03 17:20:31,12k-18k,应届毕业生,本科,"1、建设业务分析模型，不断评估和优化业务分析模型，能够将各项业务进行量化评估；
2、根据用户行为数据进行业务分析，帮助业务快速提升；
3、梳理业务逻辑模型，管理和建设报表体系。
","1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；
2、有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先；
3、精通 SQL，熟练使用 Python/R 进行数据清洗、分析，熟悉spark、hive；
4、能快速理解业务，发掘业务细节和数据之间的联系；
5、掌握Tableau 等 BI 工具尤佳。"
206,锅圈供应链（上海）有限公司,北京,500-2000人,不限,数据分析师,2020-04-03 17:09:25,8k-12k,1-3年,本科,"1.  深入理解零售行业及相关业务，进行系统建立并不断完善其相关数据指标体系，用以完整和准确地描述业务进展及运营思路；
2.  负责公司核心和常规性的数据分析，对核心数据进行例行监控，及时察觉数据的波动并同工深入分析了解其原因，建立良好的核心数据监测和汇报机制，以促进业务优化；
3.  与产品、运营、市场等团队紧密合作，为团队决策提供充分的数据支撑，并推动相关分析结论的落地，已达成目标；
4.  优化和改进现有的业务领域数据口径和数据报表，结合业务运营目标，建立合理的数据分析模型，并使之体系化沉淀。
 
二、任职要求
1.","30岁以下，本科以上学历，计算机、统计学、数学等相关专业；
2.  数据相关工作经验2年及以上，有数据敏感度，分析及逻辑思维能力强；
3.  有零售行业数据分析背景，对于零售数据分析有相关经验者优先；
4.  熟悉python、excel等数据处理分析工具，精通sql查询优先；
5.  对常用的机器学习算法、特征选择方法、数据建模过程有深入理解；
6.  敢于迎接挑战、不怕辛苦、积极完成公司交赋的工作任务；
7.  对行业有浓厚的兴趣及意愿，致力于把行业作为事业发展方向；
8.  认同公司的发展理念，愿意与公司共同发展，具有很强的工作责任心和团队合作精神。"
