,公司名,公司领域,招聘岗位,薪资,公司位置,学历,工作年限,发布时间,岗位职责,岗位要求,公司人数
142,中软国际科技,IT服务/系统集成,看点数据分析,['10-13k·12薪'],['北京-马连洼'],['本科及以上'],['1年以上'],2020年04月04日,1、整理数据埋点规范，对新增数据埋点进行校验和验收；2、梳理指标口径，输出规范化指标管理文档；3、配合数据产品经理的工作，包括但不限于数据工具需求收集，功能测试，疑问解答等；4、配合数据分析师的工作，包括但不限于数据提取，数据加工，文档整理等。,1、有app数据埋点相关经验；2、有数据报表开发或BI相关经验；3、熟练运用hive sql，excel，思维导图等工具。,['10000']
143,中软国际科技,IT服务/系统集成,数据分析支持,['10-12k·12薪'],['北京'],['本科及以上'],['1年以上'],2020年04月04日,1、日常周报的数据整理及其他临时性数据支持2、协助支持日常会议推进需求及跨团队沟通协调3、协助支持一些专题性的分析报告4、协助相关数据产品的搭建,1、严谨认真，优秀的数据处理和分析能力，计算机、统计、经济学、心理学、社会学等专业优先2、沟通能力较强，独立承担跨团队项目推进的工作3、熟练使用Office办公软件，尤其是Excel、PPT,['10000']
144,饿了么,O2O服务,数据分析师,['20-35k·14薪'],['北京'],['硕士及以上'],['3年以上'],2020年04月04日,1.面向外卖市场，精通业务，设计反映业务特征的数据体系，及时发现和定位业务问题；2.能独立完成数据需求或与BI配合，获取必要的数据；3.对专题问题进行深入分析，为运营决策、产品方向、销售策略提供数据支持；4.沉淀分析思路与框架，提炼数据产品需求，做好数据分析结论与业务目标以及达到目标所需资源和落地之间的衔接工作；5.与产品、运营、BI团队紧密协作进行数据建模及数据报表产品化工作，提升业务部门的数据化运营效率；6.参与建立用户、商户、物流、市场各环节关键数据节点的设计，用数据驱动增长；7.GMV、商户经营、用户数、物流质量增长负责；,"1.研究生及以上学历，统计、数据、金融、信息管理等专业优先；2 5年以上互联网平台数据运营或分析师经验；3.有独立推进大型专题分析的经验，用户增长领域优先；4.良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据背后的商业逻辑和相关洞察，有出色的结构化思维能力；5.熟练运用hive，EXCEL,MY SQL等工具，独立且高效地完成数据提取及分析者优先；6.具备良好的PPT技巧及工作汇报能力；7.强大的自驱力，敬业精神，良好的跨部门沟通及资源整合能力，能够独立推进项目。""8.能适应一个月50%时间在外出差！",['10000']
145,火币集团,互联网+,技术专家（数据分析）,['35-55k·12薪'],['北京'],['学历不限'],['5年以上'],2020年04月04日,1、结合公司查略要求、结合各业务情况，梳理并完成自上而下的各业务线的业务指标体系；2、带领团队，协助业务落地指标体系，并根据业务情况进一步形成指标的自动化监控、分析及排查能力；3、带领团队根据业务数据发现并分析异常，形成异常分析排查机制、专项分析机制等工作；4、梳理并抽象日常业务行为，结合数据指标，形成标准化数据运营流程；5、协助数据应用团队梳理业务需求，完成指标展示、监控、分析等自动化能力的开发；,1、5年以上数据相关工作经验，1年以上技术团队管理经验；2、熟悉Hive、Spark、MySQL等，熟悉Python、Shell、Java等一种语言，熟悉 tableau、sas 等一种工具；3、对数据具备较好的敏感度，逻辑清晰，具备良好的洞察力；4、良好的跨团队、部门沟通及资源整合能力，能带领团队完成攻坚。,"['1000', '2000']"
146,粉笔未来科技,在线教育,数据分析师,['20-30k·13薪'],['北京-朝阳区'],['统招本科'],['3年以上'],2020年04月04日,1、深入理解公司业务，建立标准业务指标规范，搭建并持续优化业务的分析体系，尤其是用户分析体系；2、利用高效率数据工具及精准的分析及预测模型，汇总多种数据源进行深度挖掘和分析，形成有利于提升内部效率的策略；3、监控业务相关核心指标变化，解读异常数据，并跟踪解决方案的实施进度；4、配合并给予积极的数据需求响应支持，独立负责或参与跨部门数据项目的推进；5、负责完善营销端、运营端、产品端等相关业务数据流程，并对相关数据进行解读，提出业务优化方向；,1、本科以上学历，3年以上产品、运营、用户、营销相关业务分析经验；2、精通建模理论，具有扎实的统计学知识及数据分析挖掘能力，具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑；3、丰富的数据分析经验，逻辑严谨，良好的数据敏感度，能快速定位问题及提炼核心结论，精通Python、Hive、SQL其中一种语言；4、具备良好的团队合作精神和团队管理能力，具备出色的沟通能力。福利待遇,"['5000', '10000']"
147,米图维(上海)商务咨询有限公司,专业服务(咨询/财会/法律/翻译等),数据分析工程师0416,['8-9k·12薪'],['北京'],['硕士及以上'],['2年以上'],2020年04月04日,,1、BI技术调研与系统设计、数据建模； 2、跨平台数据应用分析与数据挖掘 3、用户体验研究与创新呈现模式； 4、产业专业指示研究导入优化系统； 5、辅助主管完成部门预算控制； 6、部门内与外工作协调； 7、上级交办的临时性工作。 任职要求,[]
148,北京中经惠众科技有限公司,大数据行业应用,资深数据分析（监管业务）,['18-35k·12薪'],['北京-海淀区'],['统招本科'],['6年以上'],2020年04月04日,1. 业务分析，指标拆解，基于大数据或者知识图谱平台进行业务建模；2. 负责数据挖掘分析工作，将数据和业务深度融合，挖掘价值，从应用出发不断倒逼数据质量；3.专注于金融建模和解决方案；4.软件需求提出。,1. 本科及以上学历，5年以上银行或者保险数据开发经验，熟悉业务和底层数据；2. 对数据敏感，主动分析数据内在逻辑和联系；3. 精通银行等金融业务，能够独立设计业务模型，逻辑性强，掌握一定的业务分析方法，有监管报送方面工作经验的优先；4.愿意专精业务，较强的学习和沟通能力，能很好与金融专业人事沟通交流；5.有将法律法规转化为业务模型和方案的能力；6.能较熟练运用SQL等工具查询和提取数据，能简单使用python更优。,"['100', '499']"
149,北京中经惠众科技有限公司,大数据行业应用,资深数据分析师（金融业务分析）,['18-35k·12薪'],['北京-海淀区'],['统招本科'],['6年以上'],2020年04月04日,1. 业务分析，指标拆解，基于大数据或者知识图谱平台进行银行业等金融业务建模；2. 负责数据挖掘分析工作，将数据和业务深度融合，挖掘价值，从应用出发不断倒逼数据质量；3.专注金融风险模型和解决方案；4.软件需求提出。,1. 本科及以上学历，5年以上银行业保险业等金融数据相关经验，熟悉业务和底层数据；2. 对数据敏感，主动分析数据内在逻辑和联系；3. 熟悉对私或对公信贷业务信审、风控、催收、处置等贷前贷中贷后管控之一；或熟悉资产证券化或类资产证券化的风控和评级；或熟悉债券评级；或熟悉投顾、网金营销类业务；4.愿意专精业务，较强的学习和沟通能力，能很好与金融专业人事沟通交流；5.同时有金融机构和乙方工作经验的优先；,"['100', '499']"
150,北京中经惠众科技有限公司,大数据行业应用,资深数据分析师（数据）,['18-35k·12薪'],['北京-海淀区'],['统招本科'],['6年以上'],2020年04月04日,1. 业务分析，指标拆解；2. 新业务的数据规范制定；3.行业数据治理和数据标准；4.将数据和业务深度融合，挖掘价值，从应用出发不断倒逼数据质量；5.软件需求提出。,1. 本科及以上学历，5年以上银行或者保险数据开发经验，熟悉业务和底层数据；2. 对数据敏感，主动分析数据内在逻辑和联系；3.熟悉银行投行业务;或熟悉金融市场；或财务会计；或贸易融资4.了解相关金融监管法律法规；5.愿意专精业务，有较强的学习和沟通能力，能很好与金融专业人事沟通交流；6.能用SQL等工具查询和提取数据，能使用简单的python更优。,"['100', '499']"
151,米图维(上海)商务咨询有限公司,专业服务(咨询/财会/法律/翻译等),数据分析工程师0416(17244013),['8-10k·12薪'],['北京'],['硕士及以上'],['2年以上'],2020年04月04日,1、BI技术调研与系统设计、数据建模；2、跨平台数据应用分析与数据挖掘3、用户体验研究与创新呈现模式；4、产业专业指示研究导入优化系统；5、辅助主管完成部门预算控制；6、部门内与外工作协调；7、上级交办的临时性工作。,学历,[]
152,贝壳找房(北京)科技有限公司,O2O服务,HR系统组-数据分析产品经理（HRBI）,['25-40k·16薪'],['北京'],['统招本科'],['4年以上'],2020年04月04日,1.	基于数据分析结果提供对业务的建议和洞见，驱动管理效率提升和运营策略优化； 2.	针对公司业务，通过梳理并优化现有数据分析的内容、流程和机制，深度挖掘数据价值，提供人力资源数据策略支持；3.	在对业务、场景和用户深刻理解的基础上，将业务问题抽象为数据问题，并通过数据化运营手段解决。同时与人力资源各业务部门深度合作，结合数据结果发掘人工智能在人力资源各业务场景的应用,1.	统招本科及以上学历，5年以上数据分析经验，具备HRBI产品方向建设经验及HR数据智能化应用产品方向经验；2.	高执行力及推动能力，专业的数据处理和分析能力，精通数据分析工具；3.	清晰的分析逻辑，能快速发现问题、拆解问题并定位解决方案。4.	大型公司HR业务、HRIS、HRBI产品背景或咨询背景者优先,"['1000', '2000']"
153,贝壳找房(北京)科技有限公司,O2O服务,数据分析师（监察）,['20-35k·16薪'],['北京-海淀区'],['统招本科'],['5年以上'],2020年04月04日,"1、通过数据分析准确反应业务开展当中的问题, 及时发现与定位业务端问题，并给出成型建议;2、负责产品的用户分析，通过对海量数据的分析挖掘，提取用户特征、行为轨迹、及变动趋势，搭建客户画像模型，制定客户分层和相应的用户运营策略，推动数据化运营方案的实施和落地;3、建立分析模型，通过公司的海量数据，应用统计分析、数据挖掘方法解决业务部门的实际需求;4、基于对于所接口业务线规则及业务数据的深入理解，思考业务的key success factor，搭建业务分析框架，独立完成报告撰写，推进分析结果在业务的应用，并根据分析结果提出决策建议;",1、数学、统计、计算机等相关专业本科及以上学历；2、五年或以上数据分析工作经验，有互联网/电商数据分析工作经验者优先；3、了解互联网产品数据分析原理，有清晰的数据分析的思路和方法；4、精通SQL，能够使用R语言或python;5、能够独立完成数理统计、数据分析、数据挖掘等工作，熟知常用算法；6、有较高的商业敏感度，能够快速理解业务逻辑，实现业务需求。7、有指标体系搭建，tableau搭建或者Power BI使用经验,"['1000', '2000']"
154,广州某游戏公司,,高级数据分析师,['20-40k·13薪'],"['北京,上海,深圳']",['学历不限'],['2年以上'],2020年04月04日,,,[]
155,某科技公司,,高级数据分析师,['20-40k·13薪'],"['北京,上海,深圳']",['学历不限'],['3年以上'],2020年04月04日,,,[]
156,国内知名互联网公司,,商业分析总监（数据分析）,['30-55k·17薪'],"['北京,上海']",['本科及以上'],['4年以上'],2020年04月04日,,,[]
157,某知名互联网公司,,高级/资深数据分析师,['25-50k·13薪'],['北京'],['统招本科'],['3年以上'],2020年04月04日,,,[]
158,某知名互联网公司,,风险数据分析师,['25-50k·13薪'],"['北京,上海']",['统招本科'],['3年以上'],2020年04月04日,,,[]
159,某国企公司,,高级数据分析师,['30-50k·12薪'],['北京-朝阳区'],['统招本科'],['5年以上'],2020年04月04日,,,[]
160,某知名互联网公司,,风险数据分析师,['25-50k·13薪'],"['北京,上海']",['统招本科'],['3年以上'],2020年04月04日,,,[]
161,某国企公司,,高级数据分析师,['30-50k·12薪'],['北京-朝阳区'],['统招本科'],['5年以上'],2020年04月04日,,,[]
162,国内top级能源底层数据上市企业,,商业分析/数据分析,['30-60k·13薪'],['北京-朝阳区'],['学历不限'],['3年以上'],2020年04月04日,,,[]
163,某互联网科技公司,,资深数据分析师,['30-55k·13薪'],['北京'],['硕士及以上'],['2年以上'],2020年04月04日,,,[]
164,某知名AI公司,,高级数据分析工程师,['45-50k·12薪'],['北京-昌平区'],['统招本科'],['5年以上'],2020年04月04日,,,[]
165,国内某高新技术企业,,大数据工程师（数据分析岗）,['12-21k·12薪'],['北京'],['统招本科'],['3年以上'],2020年04月04日,,,[]
166,石油能源行业大型信息化提供商,,数据分析师,['15-30k·12薪'],['北京-昌平区'],['统招本科'],['5年以上'],2020年04月04日,,,[]
167,某知名在线教育平台,,HR数据分析师,['35-45k·12薪'],['北京'],['统招本科'],['5年以上'],2020年04月04日,,,[]
168,某商业地产房地产公司,,数据分析师,['15-20k·12薪'],['北京'],['统招本科'],['2年以上'],2020年04月04日,,,[]
169,某大型上市公司,,数据分析运营总监,['70-100k·12薪'],['北京-海淀区'],['统招本科'],['5年以上'],2020年04月04日,,,[]
170,云计算厂商,,资深数据分析师,['100-150k·14薪'],"['杭州,北京,深圳']",['硕士及以上'],['1年以上'],2020年04月04日,,,[]
171,某知名电商平台,,数据分析师,['20-40k·14薪'],['北京'],['统招本科'],['5年以上'],2020年04月04日,,,[]
172,国内某知名金融上市企业,,数据分析,['15-30k·20薪'],"['上海,北京,深圳']",['统招本科'],['3年以上'],2020年04月04日,,,[]
173,全球某知名信息科技公司,,高级数据分析师,['50-80k·15薪'],"['北京-海淀区,上海-闵行区,深圳-南山区']",['学历不限'],['1年以上'],2020年04月04日,,,[]
174,国内某知名国有企业,,数据分析岗,['15-20k·12薪'],['北京-朝阳区'],['学历不限'],['2年以上'],2020年04月04日,,,[]
175,字节跳动,互联网/移动互联网/电子商务,成本数据分析师,['面议'],['北京-海淀区'],['本科及以上'],['经验不限'],2020年04月03日,1、分析公司内部技术服务资源及基础设施成本数据，通过数据挖掘成本优化点，提出成本优化建议，支持运营成本不断降低；2、负责成本优化项目的数据分析，评估项目全周期和分阶段的收益并进行数据监控；3、建立有关衡量成本的数学模型和指标体系，且推动落地；4、不断完善成本相关的数据基础建设，让数据在成本控制和优化中发挥重要作用。,1、计算机、数据科学等数理相关专业优先，熟悉数学建模方法和 SQL/Python/数据可视化等相关技术，了解大数据、机器学习原理；2、有基础设置资源相关工作背景者优先；3、有数据分析、产品经理、运营经理、策略经理等背景者优先；4、具备缜密逻辑思维，良好沟通理解能力；5、求知欲、自驱力、创新力强，有强烈钻研探索精神和责任心。,['10000']
176,睿智合创(北京)科技有限公司,IT服务/系统集成,金融数据分析师(J10087),['18-36k·15薪'],['北京-东四'],['统招本科'],['3年以上'],2020年04月03日,职责描述1.负责维护线上金融业务的数据支持体系、数据监控体系，能快速从数据发现业务的异常，与产品、运营、风险沟通协调解决异常；2.追踪业务调整，建立AB试验后台等复盘和归因机制，提高公司各产品线的数据分析效率； 3.针对业务重点方向深入研究，深度挖掘数据价值，包含用户行为分析、用户画像分析、用户分层等，提出可落地的产品策略建议和相关数据支持，提高数据运营效率；,职位要求1.本科及以上学历。统计学/数学/计算机/物理等相关专业优先；2.具有2年以上头部互联网金融相关数据分析风险背景优先；3.精通SQL，熟练使用SAS/python/R（其一），熟练使用tableau或其他bi工具4.业务理解能力强，可快速把握业务重点，形成分析框架且有自己明确的观点输出；5.具有良好的主动沟通意识、协调资源与项目推动的能力，具有高度的责任心、自我驱动力和主人翁意识。,"['100', '499']"
177,中油瑞飞,计算机软件,数据分析师,['面议'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1. 负责数据仓库及应用项目建设（报表、分析指标）需求调研、业务沟通、需求分析，.编制需求说明书和数据调研报告；2. 负责数据仓库及应用项目的系统与业务系统的接口设计；3. 负责数仓业务应用设计，包括业务逻辑设计，应用展示原型设计，数据源分析；4. 监控业务数据及核心指标，及时发现业务数据异常，并给出合理的解释，并对业务系统和数据仓库提出改进建议；5. 及时反馈工作中发现的各种数据质量问题，推动相关小组提高数据记录的精确性；6. 负责用敏捷BI、大数据等工具开发报表和分析。7. 推动平台数据产品迭代更新，优化系统功能，提升用户体验。,1. 统计学、应用数学、电子商务、计算机等相关专业，本科及以上学历；2. 具有3年以上数据仓库或数据治理相关工作经验，在数据仓库、数据治理、商务智能类项目中有两个以上项目经验；3. 熟练掌握hadoop、Mysql、R、python等数据库、统计分析软件、数据分析语言；4. 良好业务理解能力、沟通表达能力和数据分析能力，逻辑思维清晰、自我学习能力较强；5. 具有良好的服务意识、沟通能力、团队协作和敬业精神，抗压能力强；,"['2000', '5000']"
